,Paises,Casos Totales,Casos Nuevos,Fallecidos Totales,Fallecidos Nuevos,Recuperados Totales,Recuperados Nuevos,Casos Activos,Estado Critico,Pruebas Totales
8,USA,10297351,8871.0,243807.0,39.0,6484054.0,634.0,3569490.0,18479.0,157660487.0
9,India,8572402,18538.0,126835.0,182.0,7936526.0,20866.0,509041.0,8944.0,118572192.0
10,Brazil,5664115,,162397.0,,5064344.0,,437374.0,8318.0,21900000.0
11,Russia,1796132,21798.0,30793.0,256.0,1335141.0,10722.0,430198.0,2300.0,65209357.0
12,France,1787324,,40439.0,,128614.0,,1618271.0,4539.0,17891276.0
13,Spain,1388411,,38833.0,,,,,2863.0,19394289.0
14,Argentina,1242182,,33560.0,,1062911.0,,145711.0,4608.0,3228651.0
15,UK,1192013,,49044.0,,,,,1185.0,35600586.0
16,Colombia,1143887,,32791.0,,1038082.0,,73014.0,2376.0,5402433.0
17,Mexico,967825,5887.0,95027.0,219.0,715977.0,5037.0,156821.0,2838.0,2511207.0
18,Italy,935104,,41394.0,,335074.0,,558636.0,2749.0,17374713.0
19,Peru,922333,,34879.0,,843600.0,,43854.0,1010.0,4674263.0
20,South Africa,737278,,19809.0,,679688.0,,37781.0,546.0,4980440.0
21,Iran,692949,10463.0,38749.0,458.0,525641.0,5312.0,128559.0,5561.0,5263173.0
22,Germany,677010,4503.0,11526.0,21.0,429600.0,10200.0,235884.0,2904.0,23393311.0
23,Poland,568138,21713.0,8045.0,173.0,219371.0,10008.0,340722.0,1804.0,5284661.0
24,Chile,521558,,14543.0,,497411.0,,9604.0,735.0,4583940.0
25,Iraq,501733,3184.0,11380.0,53.0,432233.0,3305.0,58120.0,376.0,3019706.0
26,Belgium,500789,6621.0,13055.0,148.0,29651.0,294.0,458083.0,1469.0,5284787.0
27,Ukraine,469018,8687.0,8565.0,115.0,209143.0,2277.0,251310.0,177.0,3648292.0
28,Indonesia,440569,2853.0,14689.0,75.0,372266.0,3968.0,53614.0,,4824389.0
29,Bangladesh,421921,1683.0,6092.0,25.0,339768.0,1623.0,76061.0,,2456644.0
30,Czechia,414828,,4858.0,,243129.0,,166841.0,1206.0,2584114.0
31,Netherlands,414745,4680.0,8043.0,39.0,,,,630.0,3535613.0
32,Philippines,398449,2058.0,7647.0,108.0,361784.0,182.0,29018.0,1455.0,5069078.0
33,Turkey,394255,,10887.0,,338239.0,,45129.0,2740.0,15127811.0
34,Saudi Arabia,350984,392.0,5559.0,19.0,337788.0,402.0,7637.0,787.0,8547910.0
35,Pakistan,344839,1650.0,6977.0,9.0,318881.0,464.0,18981.0,972.0,4709603.0
36,Israel,319562,321.0,2674.0,,308735.0,172.0,8153.0,322.0,4854942.0
37,Romania,306991,3240.0,8009.0,130.0,206793.0,2114.0,92189.0,1076.0,3488090.0
38,Canada,264113,,10522.0,,215005.0,,38586.0,238.0,9935221.0
39,Morocco,256781,,4272.0,,209801.0,,42708.0,933.0,3491314.0
40,Switzerland,229222,17309.0,2823.0,51.0,87300.0,,139099.0,387.0,2231552.0
41,Nepal,197024,2571.0,1126.0,18.0,159724.0,1798.0,36174.0,,1551254.0
42,Portugal,183420,4096.0,2959.0,63.0,102083.0,2302.0,78378.0,391.0,3642907.0
43,Ecuador,174907,,12830.0,,154956.0,,7121.0,343.0,572598.0
44,Austria,158746,5593.0,1454.0,43.0,94627.0,2908.0,62665.0,474.0,2452692.0
45,Sweden,146461,,6022.0,,,,,92.0,2431770.0
46,UAE,143289,1146.0,515.0,1.0,138959.0,668.0,3815.0,,14223360.0
47,Bolivia,142475,48.0,8795.0,5.0,114466.0,241.0,19214.0,71.0,339360.0
48,Panama,139527,,2798.0,,117770.0,,18959.0,156.0,715094.0
49,Qatar,134433,230.0,232.0,,131490.0,214.0,2711.0,41.0,1021116.0
50,Kuwait,132478,735.0,816.0,5.0,123314.0,738.0,8348.0,120.0,971489.0
51,Dominican Republic,130182,,2265.0,,108021.0,,19896.0,179.0,622881.0
52,Oman,118503,363.0,1310.0,9.0,108968.0,287.0,8225.0,140.0,376700.0
53,Kazakhstan,116772,610.0,1857.0,,107843.0,175.0,7072.0,221.0,3645655.0
54,Costa Rica,116363,,1464.0,,71119.0,,43780.0,179.0,326539.0
55,Hungary,114778,5162.0,2493.0,55.0,26161.0,1091.0,86124.0,415.0,1225399.0
56,Guatemala,111262,,3821.0,,101135.0,,6306.0,5.0,455875.0
57,Jordan,109321,,1233.0,,8808.0,,99280.0,378.0,2040687.0
58,Egypt,109201,,6368.0,,100342.0,,2491.0,46.0,135000.0
59,Japan,108084,998.0,1818.0,6.0,97654.0,457.0,8612.0,204.0,2871126.0
60,Armenia,107466,1042.0,1580.0,21.0,64910.0,731.0,40976.0,,441174.0
61,Belarus,107262,983.0,1011.0,4.0,91353.0,355.0,14898.0,,2707573.0
62,Honduras,100508,467.0,2751.0,6.0,42959.0,144.0,54798.0,24.0,231650.0
63,Ethiopia,99675,,1523.0,,59766.0,,38386.0,316.0,1526221.0
64,Venezuela,94883,,826.0,,89755.0,,4302.0,117.0,2186865.0
65,Lebanon,94236,,723.0,,46602.0,,46911.0,287.0,1323296.0
225,China,86245,33.0,4634.0,,81187.0,19.0,424.0,8.0,160000000.0
66,Bahrain,83456,,329.0,,81000.0,,2127.0,26.0,1833427.0
67,Moldova,82346,,1893.0,,62508.0,,17945.0,852.0,394986.0
68,Slovakia,76072,577.0,366.0,15.0,19757.0,276.0,55949.0,135.0,906283.0
69,Bulgaria,75160,,1665.0,,24408.0,,49087.0,272.0,795428.0
70,Tunisia,71119,,1873.0,,48103.0,,21143.0,262.0,382554.0
71,Libya,69040,923.0,944.0,15.0,40780.0,661.0,27316.0,,349566.0
72,Uzbekistan,68879,149.0,586.0,1.0,66107.0,136.0,2186.0,250.0,1377915.0
73,Croatia,68776,1529.0,832.0,38.0,53002.0,2227.0,14942.0,142.0,564686.0
74,Paraguay,67589,,1490.0,,47822.0,,18277.0,107.0,385453.0
75,Azerbaijan,65411,,840.0,,48908.0,,15663.0,,1441230.0
76,Ireland,65394,,1947.0,,23364.0,,40083.0,39.0,1715684.0
77,Nigeria,64090,,1154.0,,59910.0,,3026.0,10.0,686395.0
78,Serbia,64065,1318.0,901.0,11.0,31536.0,,31628.0,106.0,1429551.0
79,Bosnia and Herzegovina,63419,996.0,1583.0,73.0,31222.0,283.0,30614.0,,346573.0
80,Kyrgyzstan,63390,571.0,1182.0,5.0,54358.0,406.0,7850.0,137.0,442805.0
81,Kenya,62488,,1111.0,,41931.0,,19446.0,60.0,742481.0
82,Algeria,62051,,2048.0,,42037.0,,17966.0,29.0,
83,Myanmar,61975,598.0,1437.0,17.0,46661.0,905.0,13877.0,,804163.0
84,Georgia,60680,2927.0,499.0,24.0,45042.0,2470.0,15139.0,,975896.0
85,Palestine,58838,680.0,521.0,6.0,50877.0,470.0,7440.0,,556989.0
86,Singapore,58064,8.0,28.0,,57975.0,,61.0,,3879052.0
87,Greece,56698,,784.0,,9989.0,,45925.0,228.0,1941656.0
88,Denmark,55892,771.0,747.0,4.0,41232.0,927.0,13913.0,33.0,5857426.0
89,Ghana,49102,,320.0,,47726.0,,1056.0,15.0,549249.0
90,Slovenia,45625,464.0,578.0,24.0,23533.0,1090.0,21514.0,186.0,406134.0
91,Afghanistan,42297,205.0,1574.0,16.0,34721.0,263.0,6002.0,93.0,126169.0
92,Malaysia,41181,972.0,294.0,8.0,29579.0,1345.0,11308.0,86.0,2291344.0
93,North Macedonia,39760,,1136.0,,23035.0,,15589.0,138.0,271599.0
94,El Salvador,35145,,1014.0,4.0,31172.0,,2959.0,53.0,492626.0
95,Australia,27668,10.0,907.0,,25454.0,3.0,1307.0,1.0,9126840.0
96,S. Korea,27553,126.0,480.0,2.0,25029.0,61.0,2044.0,57.0,2709199.0
97,Lithuania,25755,1056.0,210.0,3.0,5813.0,113.0,19732.0,64.0,1106660.0
98,Norway,24975,243.0,285.0,,11863.0,,12827.0,20.0,1860778.0
99,Albania,24206,,559.0,,12092.0,,11555.0,14.0,134715.0
100,Luxembourg,23051,,188.0,,12094.0,,10769.0,36.0,1154898.0
101,Montenegro,22805,,337.0,,15893.0,,6575.0,31.0,98385.0
102,Cameroon,22421,,433.0,,21510.0,,478.0,41.0,149000.0
103,Ivory Coast,20832,,126.0,,20508.0,,198.0,,199603.0
104,Finland,17887,90.0,363.0,1.0,12700.0,,4824.0,13.0,1619634.0
105,Madagascar,17223,,249.0,,16516.0,,458.0,16.0,91999.0
106,Zambia,16971,17.0,349.0,,16011.0,61.0,611.0,,301334.0
107,Senegal,15711,3.0,326.0,,15349.0,13.0,36.0,,214193.0
108,Uganda,14403,,132.0,,7771.0,,6500.0,,569624.0
109,Sri Lanka,14101,172.0,35.0,,8880.0,595.0,5186.0,,598421.0
110,Sudan,14090,,1115.0,,9484.0,,3491.0,,
111,Mozambique,13768,,99.0,,11605.0,,2064.0,,200946.0
112,Namibia,13211,,134.0,,11605.0,,1472.0,4.0,134270.0
113,Angola,12433,,307.0,,5899.0,,6227.0,34.0,171247.0
114,Guinea,12426,12.0,74.0,,10829.0,12.0,1523.0,24.0,47405.0
115,Maldives,11986,,39.0,,11092.0,,855.0,12.0,150743.0
116,DRC,11591,,316.0,,10838.0,,437.0,,
117,Tajikistan,11376,40.0,83.0,,10711.0,58.0,582.0,,
118,French Guiana,10704,,70.0,,9995.0,,639.0,1.0,77017.0
119,French Polynesia,9995,,39.0,,4842.0,,5114.0,25.0,26355.0
120,Jamaica,9506,,221.0,,4934.0,,4351.0,6.0,100569.0
121,Cabo Verde,9369,,100.0,,8465.0,,804.0,23.0,101878.0
122,Haiti,9127,,232.0,,7618.0,,1277.0,,33073.0
123,Gabon,9022,,55.0,,8878.0,,89.0,10.0,254291.0
124,Zimbabwe,8531,,253.0,,8005.0,,273.0,,167535.0
125,Latvia,8187,92.0,101.0,2.0,1466.0,,6620.0,10.0,500347.0
126,Guadeloupe,7903,,133.0,,2242.0,,5528.0,19.0,70195.0
127,Botswana,7835,,27.0,,5534.0,,2274.0,1.0,330611.0
128,Mauritania,7820,,165.0,,7479.0,,176.0,3.0,92002.0
129,Cuba,7297,,130.0,,6680.0,,487.0,6.0,909632.0
130,Malta,7243,102.0,78.0,2.0,5185.0,82.0,1980.0,15.0,364249.0
131,Bahamas,6964,17.0,154.0,2.0,4943.0,1.0,1867.0,7.0,38187.0
132,Réunion,6264,,27.0,,5380.0,,857.0,14.0,48859.0
133,Estonia,6250,125.0,76.0,1.0,4205.0,12.0,1969.0,6.0,280693.0
134,Syria,6215,,317.0,,2357.0,,3541.0,,
135,Eswatini,6003,,117.0,,5724.0,,162.0,9.0,54972.0
136,Cyprus,5987,,28.0,,1882.0,,4077.0,7.0,510305.0
137,Malawi,5951,,184.0,,5348.0,,419.0,4.0,66287.0
138,Trinidad and Tobago,5849,,111.0,,5132.0,,606.0,3.0,34012.0
139,Djibouti,5608,,61.0,,5486.0,,61.0,,86756.0
140,Nicaragua,5591,,157.0,,4225.0,,1209.0,,
141,Andorra,5383,,75.0,,4248.0,,1060.0,22.0,146308.0
142,Hong Kong,5381,6.0,107.0,,5146.0,2.0,128.0,7.0,3753969.0
143,Congo,5379,,92.0,,3887.0,,1400.0,,
144,Suriname,5239,,113.0,,5107.0,,19.0,5.0,19772.0
145,Rwanda,5222,,36.0,,4960.0,,226.0,,570609.0
146,Iceland,5101,23.0,23.0,3.0,4456.0,33.0,622.0,3.0,367577.0
147,Equatorial Guinea,5092,,85.0,,4968.0,,39.0,2.0,66600.0
148,CAR,4879,,62.0,,1924.0,,2893.0,2.0,32711.0
149,Aruba,4600,,40.0,,4389.0,,171.0,4.0,42189.0
150,Mayotte,4550,,45.0,,2964.0,,1541.0,6.0,15781.0
151,Guyana,4514,,134.0,,3526.0,,854.0,11.0,22092.0
152,Somalia,4229,,107.0,,3247.0,,875.0,,
153,Martinique,4215,,33.0,,98.0,,4084.0,16.0,54161.0
154,Belize,4176,100.0,70.0,2.0,2364.0,11.0,1742.0,2.0,24987.0
155,Thailand,3840,3.0,60.0,,3661.0,7.0,119.0,1.0,977854.0
156,Mali,3706,,137.0,,2828.0,,741.0,,81056.0
157,Gambia,3684,,121.0,,3533.0,,30.0,,21832.0
158,Uruguay,3514,,62.0,,2943.0,,509.0,8.0,344350.0
159,South Sudan,2943,,59.0,,1290.0,,1594.0,,12044.0
160,Benin,2745,,43.0,,2466.0,,236.0,,259047.0
161,Burkina Faso,2569,,67.0,,2381.0,,121.0,,
162,Togo,2516,,57.0,,1732.0,,727.0,,127772.0
163,Guinea-Bissau,2414,,42.0,,1862.0,,510.0,5.0,
164,Sierra Leone,2381,,74.0,,1812.0,,495.0,,
165,Yemen,2070,,602.0,,1375.0,,93.0,,16658.0
166,New Zealand,1986,4.0,25.0,,1910.0,1.0,51.0,,1137660.0
167,Lesotho,1967,,44.0,,1024.0,,899.0,,23241.0
168,Chad,1547,,99.0,,1382.0,,66.0,,
169,Liberia,1442,,82.0,,1310.0,,50.0,2.0,30332.0
170,Niger,1243,,69.0,,1144.0,,30.0,9.0,39562.0
171,Vietnam,1215,2.0,35.0,,1087.0,17.0,93.0,,1246480.0
172,Curaçao,1097,,2.0,,816.0,,279.0,1.0,14394.0
173,San Marino,1043,,42.0,,754.0,,247.0,2.0,11257.0
174,Sao Tome and Principe,962,,16.0,,912.0,,34.0,,6653.0
175,Channel Islands,921,,48.0,,766.0,,107.0,10.0,165849.0
176,Sint Maarten,890,,23.0,,787.0,,80.0,6.0,6982.0
177,Gibraltar,805,12.0,,,692.0,7.0,113.0,1.0,72419.0
178,Liechtenstein,801,13.0,3.0,,565.0,84.0,233.0,15.0,9155.0
179,Diamond Princess,712,,13.0,,659.0,,40.0,4.0,
180,Turks and Caicos,707,,6.0,,691.0,,10.0,1.0,5032.0
181,Burundi,614,2.0,1.0,,549.0,,64.0,,56870.0
182,Saint Martin,604,,12.0,,522.0,,70.0,4.0,6373.0
